Fabricante;Nacionalidade
Quimis;Brasileira
Futura;Brasileira
Quimis;
Digmed;
Quimis;Brasileira
Malvern;
Ohaus;
Ohaus;
Automática Tecnologia S. A.;Brasileira
Tecmaq;
DTA Iron Works Ltd.;Japonesa
DTA Iron Works Ltd.;Japonesa
DTA Iron Works Ltd.;Japonesa
Ohta kikai Seisakusho;Japonesa
Luferco;
Denver;
Quimis;Brasileira
Tecnal;Brasileira
Thorton;
Thorton;
Solab;Brasileira
Toledo do Brasil;
Jung;
Fortelab;
Shimadzu;Japonesa
Eirich;Brasileira
Fabbe;
Ciola;Brasileira
Quimis;Brasileira
Solotest;Brasileira
Ogawa Sampling;Japonesa
Ogawa Sampling;Japonesa
Ogawa Sampling;Japonesa
Tokujo Kosakusho;Japonesa
Faço;Brasileira
Yoshida Seisakusho;Japonesa
Yoshida Seisakusho;Japonesa
Yoshida Seisakusho;Japonesa
Yoshida Seisakusho;Japonesa
IPT;Brasileira
Permution;
Fanem;
0;Brasileira
Carpco, Inc. Co.;Norte Americano
Nippon;Japonesa
Solab;
Marconi;
Ohaus;
Toledo;
Leica;
Milli-Q/Millipore;França
;
;
;
;
Solotest;Brasileira 
Tokujo Kosakusho;Japonesa
Aichi Denki Kosakusho;Japonesa
Kubota;Japonesa
IPT;
Lutz Ferrando;Brasileira
Fanem;Brasileira
SOC. FABBE;Brasileira
Fanem;Brasileira
;
Sanwa Rikoh;Japonesa
Deco;
Denver;Norte Americano
OTA Iron Works/Wilfley;Japonesa
ALP CO., LTD;
Eriez;Japonesa
Eriez;Japonesa
Cimaq;Brasileira
Cimaq;Brasileira
Cimaq;Brasileira
Kiya Seisakusho;Japonesa
Frantz;Brasileira
Solo Test;Brasileira
Líder;
Fabbe;
Lippel;
Lippel;Brasileira
Renard;Brasileira
Renard;Brasileiro
Schulz;
Lurgi;Norte Americano
IPT;Brasileira
Eirich;Brasileira
Erweka;
Fanem;Brasileira
Simpson;Norte Americano
Renard;Brasileira
Eirich;Alemã
Mecânica Alfa Ltda.;Brasileira
Mecânica Nacional;Brasileira
Fungel;
Jung;Brasileira
Neuberger;Brasileira
Eng Maq;Brasileira
;
;
Omel;Brasileira
Envirotech;Brasileira
Primar S.A;Brasileira
Allis;Norte Americano
Joy Denver;Norte Americano
Renard;Brasileira
Joy Denver;Norte Americano
Joy Denver;Norte Americano
Joy Denver;Norte Americano
Denver;
Hitachi;Japonesa
Joy Denver;Norte Americano
Azusa Calif.;Norte Americano
Denver;Norte Americano
Bombetec;
Alljig;
Denver;Norte Americano
Renard;
Plastimax;Brasileira
Plastimax;Brasileira
Renard;Brasileira
Renard;Brasileira
Tigre;Brasileira
Tigre;
Renard;Brasileira
;
IPT;Brasileira
Koltbaq;
;
Mavi-Hude;
Maquibrit;
Imaster;Brasileira
Marconi;
Grion;
Lippel;
sanches blaine;
bambozzi;
newton;
prodelec;
Ventcenter;Brasileira
;
;
Filizola;Brasileira
Mikron;
Yokogawa;Japão
NOVA Analytical Systems;Canadá
Marte;Brasileira
Marte;Brasileira
Mitutoyo;
Mitutoyo;
Mitutoyo;
Mitutoyo;
Mitutoyo;
Tesa;
Mitutoyo;
Schnelltaster;
Tesa;
Mitutoyo;
Mitutoyo;
Mitutoyo;
PEG;Brasileira
Produtest;Brasileira
PVA Tepla;Alemanha
KSB;Brasil
Italterm;Brasil
