Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;4;Sala dos Fornos de Alta Temperatura;;Banho Maria Marconi;;Banho;Marconi;;;;;Omar;1800;W;220;;;;MA-127, série-0473335;;;;;BRASILEIRA;;;;IPT azul-39064 e IPT cinza-004905;Banho Maria;;em funcionamento;14/10/2022;LPM04BA002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Sala dos Fornos de Alta Temperatura;;Chiller Resfriador de Água Portátil LAUDA;;Resfriador;Lauda;;;;;N/D;1,6;kW;220;;;;M3 Lauda;;;;;Germany;;;;IPT azul-35370 e IPT cinza-004879;Resfriador de água de bancada;;Em funcionamento;29/09/2022;LPM04RF002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno Poço Fortelab/Inti(João Oswaldo);;Forno;Inti Fornos e Equipamentos;;;;;N/D;8500;W;220;;;;POF 1700/F;;;;;BRASILEIRA;;Intercement;;IPT azul-020825;Fusão de escórias;;Em funcionamento;29/09/2022;LPM04FO015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno Grion 1400(John);;Forno;Grion;;;;;N/D;20;kW;220;;;;No. De série: 1524;;;;;BRASILEIRA;2012;;;IPT cinza-013118;Calcinações e aquecimentos diversos;;Em funcionamento;29/09/2022;LPM04FO016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Cut Off;;Outros;Buehler;;;;;N/D;;;220;;;;No. De série: 217-A-907;;;;;;;;;IPT cinza-004931, IPT azul-48108 e IPT azul-01313;Corte de amostras metalográficas;;Em manutenção;29/09/2022;LPM04XX006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Furadeira;;Ferramentas;Almeida Land AS;;;;;N/D;;;220;;;;;;;;;;;;;IPT azul-17610, IPT azul-49805 e IPT cinza-004930;Furações em geral;;Em funcionamento;29/09/2022;LPM04FE002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno de Soleira Condutora;;Forno;Combustol;;;;;N/D;30;kVA;220;;;;F1019;;;;;;1976;;;IPT cinza-004927 e IPT azul-06350;Fusão de minérios metálicos;;Em funcionamento;29/09/2022;LPM04FO017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno Eletro Slag;;Forno;Consarc;;;;;N/D;;;;;;;;;;;;;;;;IPT azul-06353, IPT azul-23618 e IPT cinza-004914;Forno de refino por escória;;Em processo de descarte;29/09/2022;LPM04FO018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno Stokes Vácuo/Ar;;Forno;Stokes Vacuum Equipment;;;;;N/D;18;kW;440;;;;437-519 Serial: E-92557;;;;;;;;;IPT azul-23619, IPT azul-06526 e IPT cinza-004915;Fusão de metais e ligas;;Em processo de descarte;29/09/2022;LPM04FO019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno FIA/GCA;;Forno;GCA Vacuum Industries/VIP Inductotherm Corp.;;;;;N/D;120;kW;440;;;;6054-2;;;;;;;;;IPT cinza-004921 e IPT azul-06360;Fusão de metais e ligas;;em funcionamento;29/09/2022;LPM04FO020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno Grion de Solidificação Direcional(Denir);;Forno;Grion;;;;;N/D;55;kW;220;;;;No. Série: 1532;;;;;BRASILEIRA;2012;;;IPT cinza-015866;Fusão de Silício Metálico com Solidificação Direcional;;Descartado;29/09/2022;LPM04FO021;Foi descartado durante as obras na pandemia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Digital Marte-40 kg;;Balança;Marte;;;;;N/D;;;110;220;;;A 40 K;;;;;;1989;;"Preenchido ""sem número""";sem número;Pesagens diversas;;;;LPM04BL005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Filizola 10 kg;;Balança;Filizola;;;;;N/D;;;;;;;;;;;;;;;;IPT cinza-004925, IPT azul-22556 e IPT azul-23647;Pesagens diversas;;Em funcionamento;28/10/2022;LPM04BL006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Ohaus 311g;;Balança;Ohaus;;;;;N/D;;;;;;;Cent-O-Gram;;;;;;;;"Preenchido ""sem número""";sem número;Pesagens diversas;;;;LPM04BL007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Marte 610g;;Balança;Marte;;;;;N/D;;;;;;;;;;;;;;;;IPT azul-17647, IPT azul-23648 e IPT cinza-004926;Pesagens diversas;;;;LPM04BL008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Filizola 200kg;;Balança;Filizola;;;;;Omar;;;;;;;;;;;;;;;;IPT azul-23650, IPT azul-19418 e IPT cinza-004933;Pesagens diversas;;Descartando;04/10/2022;LPM04BL009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno de Solidificação Controlada Maitec(Moysés/Wagner);;Forno;Fortelab;;;;;N/D;15000;W;220;;;;40/2011;;;;;BRASILEIRA;2011;Proj. Silício;;IPT cinza-013779;Fusão de Silício Metálico;;Desligado aguardando decisão Moyses;29/09/2022;LPM04FO022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Forno de Eletrólise;;Forno;Fortelab;;;;;N/D;15000;W;220;;;;056 2014 POBA 1200/FEEL;;;;;BRASILEIRA;2014;CBMM ;;IPT vermelha-005274 e IPT vermelha-005217;Ensaios de eletrólise;;;28/10/2022;LPM04FO023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Serra de Lingotes Franho;;Serra;Franho;;;;;N/D;3;cv;220;;;;S/900;;;;;;;;;IPT azul-22533 e IPT cinza-004928;Corte de lingotes;;Em funcionamento;29/09/2022;LPM04SR001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Aspirador de Pó ASPÓ;;Aspirador;ASPÓ;;;;;N/D;;;220;;;;800;;;;;;;;;IPT cinza-004889 e IPT azul-04815;Aspirador de pó;;Em funcionamento;29/09/2022;LPM04AS002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Bomba de água de diafragma OMEL;;Bomba;Omel;;;;;N/D;;;;;;;DMD/G1 VA 897;;;;;BRASILEIRA;2012;;;IPT cinza-016202;Bomba de aumento de pressão de água;;Obsoleto;29/09/2022;LPM04BB002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Registrador de Temperatura ECIL Melt-Therm;;Outros;ECIL;;;;;N/D;;;;;;;Melt-Therm;;;;;BRASILEIRA;;;"Preenchido ""sem número""";sem número;Registro de temperaturas do forno a vácuo;;Em funcionamento;29/09/2022;LPM04XX007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Mezanino;;Celox Multi-Lab;;Outros;Heraeus Electro-Nite;;;;;N/D;;;100;240;;;ML-CX/EL, série-22340;;;;;;2004;;;83448 e 000637;Medidor de oxigenio em banho metálico;;Obsoleto.Saiu de fabricação juntamente com seus componentes.;29/09/2022;LPM04XX008;Ano de FABRICAÇÃO, não de aquisição! Equipamento portátil, peso=9kg, dimensões: 50 x 20 x 35cm, possui lança metálica de 5m e peso=10kg, obs.: equipamento emprestado em 2017 ao Albertin/Levi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança de Digi-Tron de Piso Heroult;;Balança;Digi-Tron;;;;;N/D;;;85;250;;;2 tons.;2;ton;;;Brasileira;2013;Intercement;;4780;Pesagens diversas;;Em funcionamento;29/09/2022;LPM05BL001;Plataforma de piso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Balança Digi-Tron Suspensa-Heroult;;Balança;Digi-Tron;;;;;N/D;;;12;;;DC;5 tons.;;;;;Brasileira;2013;Intercement;;4779;Pesagens diversas;;;29/09/2022;LPM05BL002;Pesos suspensos por ponte rolante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Serra de refratario do Heroult;;Serra;Husqvarna;;;;;N/D;2,2;cv;220;;;;TS 350 E;;;;;Brasileira;2013;Intercement;"Preenchido ""sem número""";sem número;Corte de refratários;;Em funcionamento;29/09/2022;LPM05SR001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Empilhadeira Toyota ;;Empilhadeira;Toyota;;;;;N/D;;;;;;;4FG-20;2;ton;;;Brasileira;1990;;;31402;Transporte e movimentação de cargas;;Em Manutenção;29/09/2022;LPM05EP001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Térreo;;Sistema de moldagem areia/resina;;Outros;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;4;Galpão;;compressor de ar schulz interno;;compressor;schulz;;;;;omar;;;220;;;;msv 30 max 350;;;;;brasileira;;;;38720 e 004913;compressor de ar;;Em funcionamento;11/11/2022;LPM04CP001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos de fusão;;Forno de indução ao ar com capacidade até 500 kg de aço;;Forno;;;;;;N/D;;;;;;;Pillar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos de fusão;;Forno de indução ao ar com capacidade até 50 kg de aço;;Forno;;;;;;N/D;;;;;;;Inducto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos de fusão;;Muflas;;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos para tratamentos térmicos;;Indução;;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos para tratamentos térmicos;;Tubular a vácuo ou atmosfera de H2;;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos para tratamentos térmicos;;Forno rotativo (até 1700°C);;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Fornos para tratamentos térmicos;;Injetora de alumínio - força de fechamento 210 kN, pressão de injeção 140 bar, curso pistão 50 mm;;Outros;Frech;;;;;N/D;;;;;;;QC210;;;;;Alemanha;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Injetora de Alumínio;;Forno dosador com capacidade de 600 kg de Al;;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Injetora de Alumínio;;Manipulador de peças até 4 kg com sensores para falha de enchimento;;Robô;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Injetora de Alumínio;;Forno de fusão com desgaseificador;;Forno;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Térreo;;Unidade fundição de precisão por cera perdida;;Outros;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Térreo;;Máquina centrífuga horizontal com capacidade de 100 kg;;Centrifuga;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Térreo;;Equipamentos de ensaio de fadiga térmica;;Outros;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;5;Térreo;;Aquecedor de panelas com queimador a gás natural (capacidade para pré-aquecer panelas com capacidade de conter até 1 tonelada de aço);;Outros;;;;;;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Copa;;Geladeira;;Refrigerador;Consul;;;;;N/D;112;W;127;;;;CBR39ABANA;;;;;Brasileira;;BNDES;;3909;armazenamento e preservação de amostras e reagentes;;Em Funcionamento;09/09/2022;LPM10RE001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Galpão Moagem;;Moinho de bolas**;;Moinho;IPT;;;;;N/D;;;;;;;;50 kg/batelada;;;;Brasileira;;Ativo IPT;;;Moer amostras;;;28/10/2022;LPM10MO018;Item Repitido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Armário da Bancada;Agitador Magnético c/ aquecimento;;Agitador;Tecnal;;;;;Francisco;452;W;220;220;;;TE 0851;;;;;Brasileira;;;IPT geral;3914;Agitar amostras;;Em Funcionamento;09/09/2022;LPM10AG001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Armário da Bancada;Agitador Magnético c/ aquecimento;;Agitador;Tecnal;;;;;N/D;452;W;220;;;;TE 0851;;;;;Brasileira;;;;;Agitar amostras;;Não encontrado;28/10/2022;;Equipamento não encontrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Analisador tamanho de partículas;;Analisador Particulas;Shimadzu;;;;;N/D;;;110;;;;SA-CP2-20;;;;;Japonesa ;1991;JICA 1985;;1832;Determinar microgranulometrias;;Em Funcionamento;09/09/2022;LPM10AP001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Bomba à vacuo;;Bomba;Tecnal;;;;;Francisco;150;W;220;220;;;TE-058;15;Litros/Minutos;;;Brasileira;;;IPT geral;3912;Filtrar soluções;;Em Funcionamento;25/11/2022;LPM10BB002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Capela;;Capela;Quimis;;;;;Francisco;300;W;220;;;;Q 216-23;;;;;Brasileira;;Moderniza;;3908;Manipulação de produtos voláteis e com odores;;Aguardando instalação;09/09/2022;LPM10CA001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Lava-louças;;Lavadora;Futura;;;;;Francisco;1400;W;110;;;Água;Karcher K330MP;;;;;Brasileira;;Ativo IPT;;;Lavagem de vidrarias ;;Aguardando instalação;09/09/2022;LPM10LV001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Mesa agitadora;;Agitador;Quimis;;;;;Francisco;;;220;;;;Q225M;5500;RPM;;;;;BNDES;IPT geral;3917;agitar materiais em solução;Não aplicável ;Em Funcionamento;16/09/2022;LPM10AG003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;pHmetro;;Phmetro;Digmed;;;;;Francisco;2,5;VA;110;240;;;DM-22;;;;;;;BNDES;IPT geral;3906;Medir Ph   ;;Em funcionamento;16/09/2022;LPM10PH001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Viscosimetro;;Outros;Quimis;;;;;Francisco;15;W;90;240;;;Q860M26;;;;;Brasileira;2012;;IPT geral;13120;Medir viscosidade;;Faltando fonte de energia;16/09/2022;LPM10XX001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Zetâmetro;;Outros;Malvern;;;;;Francisco;150;W;100;240;;;Zen 3600;;;;;;2010;BNDES;IPT geral;3904;Determinação de granulometria e potencial zeta de nanopartículas;;Aguardando instalação;16/09/2022;LPM10XX002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Balança de precisão;;Balança;Ohaus;;;;;Francisco;6;W;100;240;Monofásico;;ARC 120;;;;;;;;IPT geral;3795;Pesagem  ;;Em funcionamento;16/09/2022;LPM10BL001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Balança determinadora de umidade;;Balança;Ohaus;;;;;Francisco;;;100;120;Monofásico;;MB45;;;;;;;Moderniza;IPT geral;3620;determinação rápida de umidade ;;Em funcionamento;16/09/2022;LPM10BL003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Mesa;Porosimetro;;Outros;Automática Tecnologia S. A.;;;;;Francisco;;;230;230;;;ATPAIP1266;;;;;Brasileira;2012;;;;Medir a porosidade de pelotas de minério de ferro;Sempre antes do uso;Em funcionamento;16/09/2022;LPM10XX004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Seladora de plásticos;;Seladora;Tecmaq;;;;;Francisco;;;220;220;;;AP450;;;;;;;IPT;IPT blue;20627;Selar amostras em sacos plásticos;;Em funcionamento;16/09/2022;LPM10SL001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de flotação;;Célula Flotação/Atrição;DTA Iron Works Ltd.;;;;;Francisco;300;W;100;100;;Monofásico;MS1000G;;;;;Japonesa;1986;JICA 1985;IPT geral;1572;Ensaios de flotação;;Em funcionamento;16/09/2022;LPM10CF001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de flotação;;Célula Flotação/Atrição;DTA Iron Works Ltd.;;;;;Francisco;200;W;100;100;;Monofásico;M.S.50/150;;;;;Japonesa;1986;JICA 1985;IPT geral;1574;Ensaios de flotação;;Em funcionamento;16/09/2022;LPM10CF002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de flotação ;;Célula Flotação/Atrição;DTA Iron Works Ltd.;;;;;Francisco;200;W;100;100;;Monofásico;MS 250/500;;;;;Japonesa;1986;JICA 1985;IPT geral;1573;Ensaios de flotação;;Em funcionamento;16/09/2022;LPM10CF003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de flutuação;;Célula Flotação/Atrição;Ohta kikai Seisakusho;;;;;Francisco;400;W;100;100;;Monofásico;Agitair;;;;;Japonesa;1989;JICA ;IPT blue;19525;Ensaios de flotação;;Em funcionamento;16/09/2022;LPM10CF004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de atrição;;Célula Flotação/Atrição;Luferco;;;;;Francisco;;;220;220;;;80584;;;;;;;Ativo IPT;IPT geral;37192;limpeza de grãos por atrição;Não Aplicável;Em funcionamento;16/09/2022;LPM10CF005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 01 - Flotação;Bancada;Célula de atrição;;Célula Flotação/Atrição;Denver;;;;;Francisco;;;;;;;D1;;;;;;;;IPT geral;6632;limpeza de grãos por atrição;;;16/09/2022;LPM10CF006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 02 - Sala de Peneiras;Armário da Bancada;Banho de Areia;;Banho;Quimis;;;;;N/D;2000;W;220;;;;Q-302-2;;;;;Brasileira;2007;Petrobras;;6683;Aquecimento;;Em Funcionamento;09/09/2022;LPM10BA001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 02 - Sala de Peneiras;Bancada;Bomba à vacuo;;Bomba;Tecnal;;;;;N/D;150;W;220;;;;TE-058;;;;;Brasileira;;;;3911;Filtrar soluções;;Em Funcionamento;09/09/2022;LPM10BB003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 02 - Sala de Peneiras;Bancada;Ultra-som;;Ultrassom;Thorton;;;;;Filipe;200;W;110;110;Monofásico;;T50;;;;;;;Ativo IPT;IPT geral;6675;lavagem de bolas;Não aplicável;Em funcionamento;16/09/2022;LPM10UL001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 02 - Sala de Peneiras;Bancada;Ultra-som;;Ultrassom;Thorton;;;;;Filipe;200;W;110;110;Monofásico;;T50;;;;;;;Ativo IPT;;;lavagem de peneiras;Não aplicável;Em funcionametno;16/09/2022;LPM10UL002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 02 - Sala de Peneiras;;Câmara climática;;Outros;Solab;;;;;Filipe;2000;W;220;220;;;SL-206/300;;;;;Brasileira;;Moderniza;IPT geral;6685;determinação de umidade crítica e relativa de materiais ;;Em manutenção;16/09/2022;LPM10XX006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Balança de precisão;;Balança;Toledo do Brasil;;;;;Matheus;12;W;100;240;;;PS6000;;;;;;2020;;IPT blue;24197;Pesagem;;Em funcionamento;16/09/2022;LPM10BL004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Forno Mufla;;Forno;Jung;;;;;Matheus;1,1;kW;220;220;;;;;;;;;2013;;IPT geral;19135;Ensaios Térmicos em Aglomerados;;Em funcionamento;16/09/2022;LPM10FO001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Forno Mufla;;Forno;Fortelab;;;;;Matheus;3000;W;220;220;;;;;;;;;2013;;IPT geral;19136;Ensaios Térmicos em Aglomerados;;Em funcionamento;16/09/2022;LPM10FO002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Máquina Universal de Ensaios ;;Prensa;Shimadzu;;;;;Matheus;;;220;220;;;AGS-X;;;;;Japonesa;2019;Fapesp;IPT blue;23520;Avaliar resistência à compressão;;Em funcionamento;16/09/2022;LPM10PR001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Misturador Intensivo;;Misturador;Eirich;;;;;Matheus;;;220;220;;;R02E;;;;;Brasileira;2009;Moderniza;IPT geral;6668;Misturar materiais diversos;;Em funcionamento;16/09/2022;LPM10MT001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Pastilhadeira;;Outros;Fabbe;;;;;Matheus;;;220;220;;;;;;;;;;;IPT geral;6670;Produzir pastilhas;;Em manutenção;16/09/2022;LPM10XX011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Laboratório 03 - Caracterização de Aglomerados;;Prensa hidráulica;;Prensa;Ciola;;;;;Matheus;5;HP;220;;;;4CA -40M;;;;;Brasileira;1975;Ativo IPT;IPT geral;6669;Produzir briquetes para ensaio;;Em funcionamento;16/09/2022;LPM10PR003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Sala 09 - Ensaios de W.I.;;Autoclave vertical;;Outros;Quimis;;;;;Filipe;2000;W;220;220;;;Q290M22;;;;;Brasileira;2008;Moderniza;IPT geral;6686;Amolecimento de fibras;;Em funcionamento;16/09/2022;LPM10XX005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Sala 09 - Ensaios de W.I.;;agitador de peneiras suspenso;;Agitador;Solotest;;;;;Matheus;1;HP;220;220;;Monofásico;8 polegadas;;;;;Brasileira;;Moderniza;IPT blue;43222;classificar amostras;;Em funcionamento;23/09/2022;LPM10AG004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Sala 09 - Ensaios de W.I.;;Britador Cônico;;Britador;Ogawa Sampling;;;;;Matheus;2,2;kW;220;220;;Trifásico;OSK152-8;;;;;Japonesa;1986;JICA 1985;IPT geral;35644;Rebritar amostras;;Em funcionamento;23/09/2022;LPM10BR001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;10;Sala 09 - Ensaios de W.I.;;Britador de mandíbulas;;Britador;Ogawa Sampling;;;;;Matheus;2,2;kW;220;220;;Trifásico;OSK 132;;;;;Japonesa;1985;JICA 1985;;;Rebritar amostras;;Em manutenção;23/09/2022;LPM10BR002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
